"lang"
{
    "Language"    "Russian"
"DOTA_Tooltip_ability_skeleton_king_vampiric_aura_custom_skeleton_duration"				"ДЛИТЕЛЬНОСТЬ ЖИЗНИ СКЕЛЕТОВ:"

"DOTA_Tooltip_modifier_skeleton_king_vampiric_aura_custom"					"Заряды скелетов от Vampiric Spirit"
"DOTA_Tooltip_modifier_skeleton_king_vampiric_aura_custom_Description"					"Текущее число скелетов."


"npc_dota_wraith_king_skeleton_warrior_custom" "Skeleton"
"npc_dota_wraith_king_skeleton_ghost_custom" "Ghost"

"font_disc_modifier_skeleton_vampiric_1" "22"
"upgrade_disc_modifier_skeleton_vampiric_1_1" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#53ea48'>10%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"
"upgrade_disc_modifier_skeleton_vampiric_1_2" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#53ea48'>15%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"
"upgrade_disc_modifier_skeleton_vampiric_1_3" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#53ea48'>20%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"

"talent_disc_modifier_skeleton_vampiric_1_0" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"
"talent_disc_modifier_skeleton_vampiric_1_1" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"
"talent_disc_modifier_skeleton_vampiric_1_2" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"
"talent_disc_modifier_skeleton_vampiric_1_3" "Vampiric Spirit дополнительно исцеляет вас на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b> от любого типа урона<br><br>Включая урон ваших скелетов"


"font_disc_modifier_skeleton_vampiric_2" "19"
"upgrade_disc_modifier_skeleton_vampiric_2_1" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#53ea48'>40%</font></b> на 2 секунды<br><br>Урон: <b><font color='#53ea48'>40</font></b>"
"upgrade_disc_modifier_skeleton_vampiric_2_2" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#53ea48'>60%</font></b> на 2 секунды<br><br>Урон: <b><font color='#53ea48'>60</font></b>"
"upgrade_disc_modifier_skeleton_vampiric_2_3" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#53ea48'>80%</font></b> на 2 секунды<br><br>Урон: <b><font color='#53ea48'>80</font></b>"

"talent_disc_modifier_skeleton_vampiric_2_0" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#297016'>40%</font></b>/<b><font color='#297016'>60%</font></b>/<b><font color='#297016'>80%</font></b> на 2 секунды<br><br>Урон: <b><font color='#297016'>40</font></b>/<b><font color='#297016'>60</font></b>/<b><font color='#297016'>80</font></b>"
"talent_disc_modifier_skeleton_vampiric_2_1" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#53ea48'>40%</font></b>/<b><font color='#297016'>60%</font></b>/<b><font color='#297016'>80%</font></b> на 2 секунды<br><br>Урон: <b><font color='#53ea48'>40</font></b>/<b><font color='#297016'>60</font></b>/<b><font color='#297016'>80</font></b>"
"talent_disc_modifier_skeleton_vampiric_2_2" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#297016'>40%</font></b>/<b><font color='#53ea48'>60%</font></b>/<b><font color='#297016'>80%</font></b> на 2 секунды<br><br>Урон: <b><font color='#297016'>40</font></b>/<b><font color='#53ea48'>60</font></b>/<b><font color='#297016'>80</font></b>"
"talent_disc_modifier_skeleton_vampiric_2_3" "При смерти, скелеты Vampiric Spirit взрываются, нанося магический урон всем противникам неподалёку и замедляя их на <b><font color='#297016'>40%</font></b>/<b><font color='#297016'>60%</font></b>/<b><font color='#53ea48'>80%</font></b> на 2 секунды<br><br>Урон: <b><font color='#297016'>40</font></b>/<b><font color='#297016'>60</font></b>/<b><font color='#53ea48'>80</font></b>"


"font_disc_modifier_skeleton_vampiric_3" "21"
"upgrade_disc_modifier_skeleton_vampiric_3_1" "<b><font color='#53ea48'>+2</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#53ea48'>+30</font></b> скорости атаки скелетов Vampiric Spirit"
"upgrade_disc_modifier_skeleton_vampiric_3_2" "<b><font color='#53ea48'>+4</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#53ea48'>+45</font></b> скорости атаки скелетов Vampiric Spirit"
"upgrade_disc_modifier_skeleton_vampiric_3_3" "<b><font color='#53ea48'>+6</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#53ea48'>+60</font></b> скорости атаки скелетов Vampiric Spirit"

"talent_disc_modifier_skeleton_vampiric_3_0" "<b><font color='#297016'>+2</font></b>/<b><font color='#297016'>+4</font></b>/<b><font color='#297016'>+6</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#297016'>+30</font></b>/<b><font color='#297016'>+45</font></b>/<b><font color='#297016'>+60</font></b> скорости атаки скелетов Vampiric Spirit"
"talent_disc_modifier_skeleton_vampiric_3_1" "<b><font color='#53ea48'>+2</font></b>/<b><font color='#297016'>+4</font></b>/<b><font color='#297016'>+6</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#53ea48'>+30</font></b>/<b><font color='#297016'>+45</font></b>/<b><font color='#297016'>+60</font></b> скорости атаки скелетов Vampiric Spirit"
"talent_disc_modifier_skeleton_vampiric_3_2" "<b><font color='#297016'>+2</font></b>/<b><font color='#53ea48'>+4</font></b>/<b><font color='#297016'>+6</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#297016'>+30</font></b>/<b><font color='#53ea48'>+45</font></b>/<b><font color='#297016'>+60</font></b> скорости атаки скелетов Vampiric Spirit"
"talent_disc_modifier_skeleton_vampiric_3_3" "<b><font color='#297016'>+2</font></b>/<b><font color='#297016'>+4</font></b>/<b><font color='#53ea48'>+6</font></b> брони скелетов Vampiric Spirit<br><br><b><font color='#297016'>+30</font></b>/<b><font color='#297016'>+45</font></b>/<b><font color='#53ea48'>+60</font></b> скорости атаки скелетов Vampiric Spirit"



"font_disc_modifier_skeleton_vampiric_4" "19"
"upgrade_disc_modifier_skeleton_vampiric_4_1" "Совершив 6 атак, скелет Vampiric Spirit впадает в ярость на 6 секунд<br><br>При этом его скорость атаки увеличивается на <b><font color='#53ea48'>40</font></b>, а скорость передвижения <b><font color='#53ea48'>20%</font></b>"
"upgrade_disc_modifier_skeleton_vampiric_4_2" "Совершив 6 атак, скелет Vampiric Spirit впадает в ярость на 6 секунд<br><br>При этом его скорость атаки увеличивается на <b><font color='#53ea48'>80</font></b>, а скорость передвижения <b><font color='#53ea48'>40%</font></b>"

"talent_disc_modifier_skeleton_vampiric_4_0" "Совершив 6 атак, скелет Vampiric Spirit впадает в ярость на 6 секунд<br><br>При этом его скорость атаки увеличивается на <b><font color='#297016'>40</font></b>/<b><font color='#297016'>80</font></b>, а скорость передвижения <b><font color='#297016'>20%</font></b>/<b><font color='#297016'>40%</font></b>"
"talent_disc_modifier_skeleton_vampiric_4_1" "Совершив 6 атак, скелет Vampiric Spirit впадает в ярость на 6 секунд<br><br>При этом его скорость атаки увеличивается на <b><font color='#53ea48'>40</font></b>/<b><font color='#297016'>80</font></b>, а скорость передвижения <b><font color='#53ea48'>20%</font></b>/<b><font color='#297016'>40%</font></b>"
"talent_disc_modifier_skeleton_vampiric_4_2" "Совершив 6 атак, скелет Vampiric Spirit впадает в ярость на 6 секунд<br><br>При этом его скорость атаки увеличивается на <b><font color='#297016'>40</font></b>/<b><font color='#53ea48'>80</font></b>, а скорость передвижения <b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>40%</font></b>"
"mini_disc_modifier_skeleton_vampiric_4" "Совершив 6 атак, скелет Vampiric Spirit впадает в ярость"
